year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2008,3,0.1582134,0.47764,0.05341476,0.10479864,0.0505754,0.107638
2008,4,-0.08194981,0.16293,-0.08194981,-0,-0.05070735,-0.03124246
2008,5,0,0,0,0,0,0
2008,6,-0.05489364,0.03392,-0.05489364,-0,-0.02947299,-0.02542065
2008,7,0,0,0,0,0,0
2008,8,-0.03703269,0.13432,-0.03703269,-0,-0.0265398,-0.01049289
2008,9,0.10820456,-0.62947,0.10820456,0,0.09170297,0.01650159
2008,10,-0.1175984,NaN,-0,-0.0814946,0.02658713,-0.10808173
2008,11,-0.09599468,1.64061,-0.09599468,-0,-0.14599736,0.05000268
2008,12,-0.25493826,1.59331,-0.25493826,-0,-0.22264374,-0.03229452
2009,1,-0.01091004,-0.1973,-0,-0.01091004,0.00633048,-0.01724052
2009,2,0,0,0,0,0,0
2009,3,-0.06301215,1.80819,-0.06301215,-0,-0.1395163,0.07650415
2009,4,0.01747556,0.62292,0,0.01747556,-0.02847166,0.04594722
2009,5,0,0,0,0,0,0
2009,6,0.03981483,-0.6802,0.03981483,0,0.06053841,-0.02072358
2009,7,0,0,0,0,0,0
2009,8,-0.01471504,-0.26438,-0,-0.01471504,0.00843493,-0.02314997
2009,9,-0.09115894,0.52867,-0.09115894,-0,-0.07715899,-0.01399995
2009,10,0,0,0,0,0,0
2009,11,-0.02569722,0.08621,-0.02569722,-0,-0.01799827,-0.00769895
2009,12,0.00174026,-0.05211,0.00174026,0,0.00398286,-0.0022426
2010,1,0.02866544,0.09656,0,0.02866544,0.00856482,0.02010062
2010,2,0,0,0,0,0,0
2010,3,-0.03711163,0.19305,-0.03711163,-0,-0.03008744,-0.00702419
2010,4,-0.00694432,0.16698,-0.00694432,-0,-0.01344653,0.00650221
2010,5,0,0,0,0,0,0
2010,6,0.00393723,0.34692,0,0.00393723,-0.01875427,0.0226915
2010,7,0,0,0,0,0,0
2010,8,-0.01867341,0.68052,-0.01867341,-0,-0.04998681,0.0313134
2010,9,-0.00588773,0.59361,-0.00588773,-0,-0.0384025,0.03251477
2010,10,0,0,0,0,0,0
2010,11,-0.00198087,-0.30103,-0,-0.00198087,0.01699126,-0.01897213
2010,12,-0.00483512,0.01285,-0.00483512,-0,-0.00318514,-0.00164998
2011,1,-0.00825928,-0.08019,-0,-0.00825928,0.00066042,-0.0089197
2011,2,0,0,0,0,0,0
2011,3,0.00701948,0.27359,0,0.00701948,-0.01283286,0.01985234
2011,4,-0.01071963,0.1752,-0.01071963,-0,-0.01582519,0.00510556
2011,5,0,0,0,0,0,0
