start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
2002-03-19 14:15,-0.0704417,-0.33914,-0,-0.0704417,-0.01501768,-0.05542402
2002-05-07 14:15,-0.0328895,-0.29932,-0,-0.0328895,0.00138627,-0.03427577
2002-06-26 14:15,0.00562857,-0.48238,0.00562857,0,0.03155051,-0.02592194
2002-08-13 14:15,-0.10169282,-0.60374,-0,-0.10169282,-0.01488055,-0.08681227
2002-09-24 14:15,-0.01260174,-1.01173,-0,-0.01260174,0.05396967,-0.06657141
2002-11-06 14:14,-0.10269602,-0.53662,-0,-0.10269602,-0.01938061,-0.08331541
2002-12-10 14:15,0.01804844,-0.2987,0.01804844,0,0.02681831,-0.00876987
2003-01-29 14:16,0.04311823,0.15934,0,0.04311823,0.01206695,0.03105128
2003-03-18 14:15,0.00707533,-0.43291,0.00707533,0,0.02932688,-0.02225155
2003-05-06 14:13,-0.08959236,0.12916,-0.08959236,-0,-0.05249047,-0.03710189
2003-06-25 14:15,0.14129693,-0.20488,0.14129693,0,0.08285353,0.0584434
2003-08-12 14:15,-0.0343401,-0.07643,-0,-0.0343401,-0.01261698,-0.02172312
2003-09-16 14:19,-0.00338044,0.09982,-0.00338044,-0,-0.00763667,0.00425623
2003-10-28 14:15,-0.08121883,-0.0135,-0,-0.08121883,-0.0398052,-0.04141363
2003-12-09 14:15,0.02837882,-0.11632,0.02837882,0,0.0211188,0.00726002
2004-01-28 14:15,0.12555183,-0.91791,0.12555183,0,0.11745744,0.00809439
2004-03-16 14:15,-0.05850592,-0.05315,-0,-0.05850592,-0.02608672,-0.0324192
2004-05-04 14:15,0.00608861,0.36501,0,0.00608861,-0.01869999,0.0247886
2004-06-30 14:15,-0.02713915,0.26758,-0.02713915,-0,-0.02950979,0.00237064
2004-08-10 14:15,0.04933364,-0.30232,0.04933364,0,0.04267656,0.00665708
2004-09-21 14:15,-0.01409511,0.0293,-0.01409511,-0,-0.00879301,-0.0053021
2004-11-10 14:15,-0.02821121,0.1175,-0.02821121,-0,-0.02110529,-0.00710592
2004-12-14 14:15,-0.01443627,0.06497,-0.01443627,-0,-0.01108851,-0.00334776
2005-02-02 14:15,-0.01390115,0.01929,-0.01390115,-0,-0.00809971,-0.00580144
2005-03-22 14:15,0.06719978,-0.33953,0.06719978,0,0.05382629,0.01337349
2005-05-03 14:15,0.02621937,0.15831,0,0.02621937,0.00367888,0.02254049
2005-05-03 16:00,-0.02063068,0.46269,-0.02063068,-0,-0.0378786,0.01724792
2005-06-30 14:15,0.04660602,-0.41325,0.04660602,0,0.04792104,-0.00131502
2005-08-09 14:15,-0.01971435,0.21427,-0.01971435,-0,-0.02262162,0.00290727
2005-09-20 14:15,0.02454297,-0.15015,0.02454297,0,0.02121619,0.00332678
2005-11-01 14:15,0.0064147,0.2192,0,0.0064147,-0.00985078,0.01626548
2005-12-13 14:15,-0.02694551,0.52662,-0.02694551,-0,-0.04484444,0.01789893
2006-01-31 14:14,0.02963536,-0.22803,0.02963536,0,0.02840183,0.00123353
2006-03-28 14:15,0.04568123,-0.62108,0.04568123,0,0.05983945,-0.01415822
2006-05-10 14:15,0.05038623,-0.19309,0.05038623,0,0.03669583,0.0136904
2006-06-29 14:15,-0.04262112,0.54151,-0.04262112,-0,-0.05356927,0.01094815
2006-08-08 14:15,-0.04025978,-0.2469,-0,-0.04025978,-0.00542162,-0.03483816
2006-09-20 14:15,0.01769471,-0.26777,0.01769471,0,0.02479889,-0.00710418
2006-10-25 14:15,-0.01039445,-0.07474,-0,-0.01039445,-0.00074483,-0.00964962
2006-12-12 14:15,-0.03211267,0.26109,-0.03211267,-0,-0.03160993,-0.00050274
2007-01-31 14:15,-0.00802387,0.4816,-0.00802387,-0,-0.0327017,0.02467783
2007-03-21 14:15,-0.08278661,0.81634,-0.08278661,-0,-0.09002412,0.00723751
2007-05-09 14:15,0.03635639,-0.13457,0.03635639,0,0.02619477,0.01016162
2007-06-28 14:15,0.01201642,-0.27362,0.01201642,0,0.02230824,-0.01029182
2007-08-07 14:15,-0.02138079,-1.07689,-0,-0.02138079,0.05346185,-0.07484264
2007-08-10 09:15,-0.00290783,-1.18487,-0,-0.00290783,0.06913089,-0.07203872
2007-08-17 08:15,-0.02824396,1.00788,-0.02824396,-0,-0.07416317,0.04591921
2007-09-18 14:15,-0.20369923,1.32029,-0.20369923,-0,-0.18050162,-0.02319761
2007-10-31 14:15,0.05304575,-0.41526,0.05304575,0,0.05126065,0.0017851
2007-12-11 14:15,0.03724435,-1.76769,0.03724435,0,0.12392659,-0.08668224
2008-01-22 08:20,-0.15795399,NaN,-0,-0,0,0
2008-01-30 14:15,-0.12004853,0.81482,-0.12004853,-0,-0.10856453,-0.011484
2008-03-11 08:30,0.10109703,1.41888,0,0.10109703,-0.03397667,0.1350737
2008-03-18 14:15,0.05212009,-0.94124,0.05212009,0,0.08213138,-0.03001129
2008-04-30 14:15,-0.07904443,0.16293,-0.07904443,-0,-0.04922824,-0.02981619
2008-06-25 14:15,-0.05301631,0.03392,-0.05301631,-0,-0.02852883,-0.02448748
2008-08-05 14:15,-0.0357333,0.13432,-0.0357333,-0,-0.02586833,-0.00986497
2008-09-16 14:15,0.10477371,-0.62947,0.10477371,0,0.0898855,0.01488821
2008-10-08 07:00,-0.03507417,NaN,-0,-0,0,0
2008-10-29 14:17,-0.07880913,-1.12724,-0,-0.07880913,0.02774711,-0.10655624
2008-11-25 08:15,-0.09180127,1.64061,-0.09180127,-0,-0.14363467,0.0518334
