start,description,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR
1991-08-06 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.15,-0.10001,-0.07,-0.11,-0.186,-0.12,-0.12,-0.11,-0.1,-0.02429,-0.05111,-0.03111,-0.02244,0.36092,0.60759,NaN
1991-08-21 11:30:00,"FOMC Rate Decision (Scheduled)",0.04,0.03,0.04,0.03,0.124,0,0.03,0.03,0.03,0.00483,0.0036,0,0.00314,0.12205,0.01296,NaN
1991-09-13 09:10:00,"FOMC Rate Decision (Unscheduled)",-0.03,0.00999,0,0,-0.05294,-0.01,0,0.01,0,0.02097,0.00359,-0.00433,0.00307,0.11105,-0.12814,NaN
1991-09-13 11:30:00,"FOMC Rate Decision (Unscheduled)",0,-0,-0,-0,0,0,0.01,0.01,0.02,0.00484,0.01078,0.00869,0.00617,-0.13256,0.01291,NaN
1991-10-02 11:30:00,"FOMC Rate Decision (Scheduled)",-0.01,0.01,0,0,-0.01069,0,0,0.01,0,0,0,0.00429,0,-0.04619,-0.06377,NaN
1991-10-30 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.02,-0.03001,-0.03,-0.04,-0.03001,-0.01,-0.01,-0.01,0,0.01118,-0.00706,0.00427,-0.00304,0.02805,0,NaN
1991-11-06 08:45:00,"FOMC Rate Decision (Scheduled)",-0.08,-0.12,-0.09,-0.12,-0.1,-0.08,-0.09,-0.09,-0.09,0.00797,-0.05295,-0.03855,-0.03391,0.06689,-0.11554,NaN
1991-11-06 11:30:00,"FOMC Rate Decision (Scheduled)",0,0,0,0,0,0,0.02,0.02,0.02,-0.00797,0,0.00428,0.00309,0.00771,-0.14102,NaN
1991-12-06 11:30:00,"FOMC Rate Decision (Unscheduled)",0,-0.09,-0.02,-0.01,0,0.01,0.01,0.01,0.03,0.01268,0.00695,0.00841,0.00898,0.0237,0.01315,NaN
1991-12-18 11:30:00,"FOMC Rate Decision (Scheduled)",0.02,0.02,0,0.01,0.04769,0,0.01,0.01,0.07,0.03162,0.00348,0,-0.00298,0.00262,0.03908,NaN
1991-12-20 08:30:00,"FOMC Rate Decision (Unscheduled)",-0.13448275862069,-0.289655172413793,-0.258620689655172,-0.258620689655172,-0.37898275862069,-0.3,-0.3,-0.25,-0.237931034482759,-0.18131,-0.12449,-0.09564,-0.04694,0.31868,1.02194,NaN
1991-12-20 11:30:00,"FOMC Rate Decision (Unscheduled)",0.00448275862068966,0.00965517241379311,0.00862068965517242,0.00862068965517242,0.0126327586206897,0.01,0,0.01,0.00793103448275862,0.01574,0.00345,-0.00414,0,0.02332,-0.02585,NaN
1992-02-06 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,0.01,-0.02,0,0.01261,-0.01,0,0.01,0,0.01263,0.00349,-0.00418,-0.00297,0.03621,0,NaN
1992-04-01 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,-0.00999,0.06,-0.01,0.01035,0.01,0,0,0.02,0.0048,-0.00356,0,-0.00614,-0.14205,-0.07467,NaN
1992-04-09 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.15,-0.2,-0.17001,-0.19,-0.21429,-0.22,-0.25,-0.24,-0.24,-0.1508,-0.09875,-0.04273,-0.03047,0.75332,0.86548,NaN
1992-05-20 11:30:00,"FOMC Rate Decision (Scheduled)",0,0.02,0.03,0.00999,0,0.02,0.02,0.01,0.01,0.03151,0.00348,-0.00419,-0.0149,-0.04802,-0.024,NaN
1992-07-02 09:15:00,"FOMC Rate Decision (Scheduled)",-0.08,-0.09,-0.1,-0.3,-0.08552,0,0.02,0.04,0.04,0.0235,0.02056,0.02473,0.00878,0.22288,-0.03629,NaN
1992-08-19 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,0.01,0.01,0.01,0.02583,-0.01,0.01,-0.01,-0.01,0.01858,0,0,0,0.02617,0.02379,NaN
1992-09-04 11:30:00,"FOMC Rate Decision (Unscheduled)",0,0,-0.01,0.01,0,-0.02,-0.01,0,-0.02,-0.00311,0.00334,0.0119,0.01945,-0.00719,0,NaN
1992-10-07 11:30:00,"FOMC Rate Decision (Scheduled)",0,0.00999,0.00999,0.01,0,0,0,0,0,0.02324,0.01002,0,-0.00571,-0.19372,-0.07365,NaN
1992-11-18 11:30:00,"FOMC Rate Decision (Scheduled)",-0.02,-0.01,0.01,0,-0.04999,0,-0.01,0,0.01,0.01566,0,0.00407,0.00287,0.19022,0.35591,NaN
1992-12-23 11:30:00,"FOMC Rate Decision (Scheduled)",0.00999,0,-0.02,-0.01,0.03873,-0.01,-0.01,-0.01,-0.04,0,-0.00343,0,0,-0.07718,-0.1019,NaN
1993-02-04 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.02,-0.04,-0.02,0,0,-0.01,0,0,0,0.00669,0.00394,0,-0.05131,-0.07802,NaN
1993-03-24 11:30:00,"FOMC Rate Decision (Scheduled)",-0.01,0,0.01,0,0,0,0,0,0.04,0.01239,0.0033,0.00772,0.00523,-0.0844,-0.14413,NaN
1993-05-19 11:30:00,"FOMC Rate Decision (Scheduled)",-0.01,-0.02,-0.02,-0.02,-0.02583,0,-0.01,-0.02,-0.03,-0.02011,-0.01319,-0.01545,-0.01857,0.16628,0.19366,NaN
1993-07-08 11:30:00,"FOMC Rate Decision (Scheduled)",0.02,0,0,0,0.02696,0,-0.01,0,0,-0.0155,-0.00328,-0.00759,-0.00253,0.31433,0.23544,NaN
1993-08-18 11:30:00,"FOMC Rate Decision (Scheduled)",0,0.02,0.01,0.01,0,0.01,0,0,0,0.01546,0.00654,0.0113,0.00245,-0.05693,-0.09854,NaN
1993-09-22 11:30:00,"FOMC Rate Decision (Scheduled)",0,0,0.01,0.01,0,0,0.01,0.01,-0.02,0.01547,0.0065,0.00747,0.00962,0.0022,-0.01097,NaN
1993-11-17 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,0,0.01,0,0.02308,-0.01,-0.01,-0.01,0,0.00465,-0.00977,-0.01498,-0.00723,0.04721,-0.08583,NaN
1993-12-22 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.01,-0.01,-0.01,0,0,0,0,-0.08,0,0,0,0.00497,0.01719,-0.03212,NaN
1994-02-04 11:05:00,"FOMC Rate Decision (Scheduled)",0.14,0.10001,0.08,0,0.16333,0.13,0.15,0.14,0.15,0.14319,0.12186,0.0684,0.03211,-0.64105,-0.7626,NaN
1994-03-22 14:20:00,"FOMC Rate Decision (Scheduled)",0,-0.04,-0.04,0,-1e-05,-0.05,-0.05,-0.03,-0.05,-0.03486,-0.06157,-0.04815,-0.04026,0.29613,0.28682,NaN
1994-04-18 10:06:00,"FOMC Rate Decision (Unscheduled)",0.06001,0.08,0.09,0.12,0.15001,0.07,0.09,0.09,0.12,0.06863,0.07701,0.0541,0.03442,-0.68128,-0.78502,NaN
